"BREAKING! NYPD Ready To Make Arrests In Weiner Case…Hillary Visited Pedophile Island At Least 6 Times…Money Laundering, Underage Sex, Pay-for-Play,Proof of Inappropriate Handling Classified Informatio...",might be fake
Go to Article Political activist and Hillary supporter Amal Clooney traveled to Texas to warn Americans about our elected President Donald J. Trump and his tough immigration policies. Maybe she didn’...,might be fake
"In a stunning turn of events 11 days before the 2016 presidential election, the FBI announced it is reopenning its investigation into Hillary Clinton’s email server case, by probing newly emerging em...",might be fake
"21st Century Wire says… This should be the biggest revelation yet from WikiLeaks already epic email trove. Will the US media cover this story? Last night, in an RT Exclusive interview conducted by ...",might be fake
"21st Century Wire says… One of the great myths being spun by the establishment media was that Donald Trump had no support from women, latinos and blacks in the US. As it turned out, this was a lie p...",might be fake
"November 11, 2016 By Shawn Helton Leave a Comment Shawn Helton 21st Century Wire Anti-Trump street protests linked to the Soros’ funded organization MoveOn.org have cascaded across the nation for th...",might be fake
"United States Marine Field McConnell Plum City Online - ( AbelDanger.net ) October 28, 2016 1. Abel Danger ( AD ) claims that Serco relayed Zulu timing signals to mentors of the Federal Bridge Cert...",might be fake
"Everybody send it to Drudge, infowars lets see if they expose it. Time to call them out i say .",might be fake
"Google &quot;Donald Trump, pedophile&quot;",might be fake
Two Powerful Quakes Hit Italy Within Hours page: 1 Near the location of the deadly August quake. (see ATS for the August Quake info). The first quake: a magnitude-5.5 quake struck the same region. The...,might be fake
All this time of thoughts and reason Now this country is full of treason This earth goes up It also goes down Mostly this life feels hellbound Do we question this crazy human race On this long crazy d...,might be fake
link originally posted by: JinMI Lots of discussion over the past months. Who we re for or who we re against and platitudes of statements...some not so much. Whomever you decide to give your vote to h...,might be fake
"The Moon that Fell from Heaven page: 1 link There is an intriguing text from Anatolian myth with regards to the Moon falling from Heaven; The Moon God fell from the sky and fell upon the gate complex,...",might be fake
"a reply to: corblimeyguvnor My current avatar is in celebration of Doctor Who Day, the 23rd of November. I have to agree, Tom was also my favourite of the oldies, and Peter Capaldi is my favourite of ...",might be fake
"link The oligarchy runs our society with Problem – Reaction – Solution. If anything, these leaks have proven beyond a shadow of a doubt that the two-party system is an illusion and the whole construct...",might be fake
"Does anyone like Trump as a person ? The answer in No. It s not about that, it never was. This is about a giant middle finder to the DC Establishment. As a Citizen we only have one way to express our ...",might be fake
"link The simple fact is that this is not a Cold War Mark II - far from it. Russia with its declining economy is nothing like the Soviet Union, which aspired to establish a different world order to tha...",might be fake
"By Kurt Nimmo, Blacklisted News In the video below the “folk hero” of the Iraqi Counter-Terror Services and regular Iraqi army takes a direct hit in the battle for Mosul. The destruction of an Abram...",might be fake
